areacd,areanm,parentcd,area,density,age_med,p2001,p2002,p2003,p2004,p2005,p2006,p2007,p2008,p2009,p2010,p2011,p2012,p2013,p2014,p2015,p2016,p2017,p2018,p2019,p2020,change2002,change2003,change2004,change2005,change2006,change2007,change2008,change2009,change2010,change2011,change2012,change2013,change2014,change2015,change2016,change2017,change2018,change2019,change2020
K02000001,United Kingdom,,242742,276,40.7,59113016,59365677,59636662,59950364,60413276,60827067,61319075,61823772,62260486,62759456,63285145,63705030,64105654,64596752,65110034,65648054,66040229,66435550,66796807,67081234,0.004274202,0.004564675,0.005260221,0.007721588,0.006849339,0.008088636,0.008230669,0.007063852,0.008014232,0.008376252,0.006634811,0.006288734,0.00766076,0.007945941,0.008263242,0.005973901,0.005986063,0.005437706,0.004258093
E92000001,England,,130311,434,40.5,49449746,49679267,49925517,50194600,50606034,50965186,51381093,51815853,52196381,52642452,53107169,53493729,53865817,54316618,54786327,55268067,55619430,55977178,56286961,56550138,0.0046415,0.004956796,0.005389689,0.008196778,0.007097019,0.00816061,0.008461478,0.007343853,0.008546014,0.008827799,0.007278867,0.006955731,0.008368962,0.008647611,0.00879307,0.006357432,0.006432069,0.005534095,0.00467563
S92000003,Scotland,,77901,70,42.1,5064200,5066000,5068500,5084300,5110200,5133100,5170000,5202900,5231900,5262200,5299900,5313600,5327700,5347600,5373000,5404700,5424800,5438100,5463300,5466000,0.000355436,0.000493486,0.003117293,0.005094113,0.004481234,0.007188638,0.006363636,0.005573815,0.005791395,0.007164304,0.002584954,0.002653568,0.003735195,0.004749794,0.00589987,0.003718985,0.002451703,0.004633971,0.000494207
S12000017,Highland,S92000003,25653,9,47,208920,209760,211640,214560,218060,220780,224000,226980,228750,230730,232730,232890,232930,233080,234110,234770,235180,235540,235830,235430,0.004020678,0.008962624,0.013797014,0.016312453,0.012473631,0.014584654,0.013303571,0.007798044,0.008655738,0.00866814,0.000687492,0.000171755,0.00064397,0.004419084,0.002819188,0.00174639,0.001530742,0.001231213,-0.001696137
E12000009,South West,,23836,237,44.1,4943364,4976129,5006653,5038284,5086121,5119840,5170537,5205044,5226821,5261270,5300831,5339739,5377702,5423278,5471610,5516973,5559316,5599735,5624696,5659143,0.006628078,0.006134085,0.006317794,0.009494701,0.00662961,0.009902067,0.006673775,0.004183826,0.006590813,0.007519287,0.007339981,0.007109524,0.008474995,0.008911953,0.008290613,0.007675042,0.007270499,0.004457532,0.006124242
W92000004,Wales,,20737,153,42.4,2910232,2922876,2937721,2957422,2969309,2985668,3006299,3025867,3038872,3049971,3063758,3074067,3082412,3092036,3099086,3113150,3125165,3138631,3152879,3169586,0.004344671,0.005078902,0.006706219,0.004019379,0.005509363,0.006910011,0.006509,0.004297942,0.003652342,0.004520371,0.003364822,0.002714645,0.00312223,0.002280051,0.004538112,0.003859435,0.004308892,0.004539559,0.005298966
E12000006,East,,19116,328,41.8,5400463,5432688,5474133,5508564,5562653,5606294,5653534,5708350,5751443,5807402,5862418,5905914,5951934,6017250,6075970,6129005,6168432,6201214,6236072,6269161,0.005967081,0.00762882,0.006289763,0.009819074,0.007845357,0.008426244,0.009695882,0.007549117,0.009729558,0.009473427,0.007419464,0.007792189,0.010973912,0.009758611,0.008728647,0.006432855,0.005314479,0.005621157,0.005306064
E12000008,South East,,19072,483,41.9,8023449,8045192,8087924,8133100,8202896,8270861,8351391,8426399,8490922,8577771,8652784,8724928,8793154,8874005,8949392,9030347,9080825,9133625,9180135,9217265,0.002709932,0.005311495,0.005585611,0.008581722,0.008285488,0.009736592,0.008981498,0.007657245,0.010228453,0.008745046,0.008337663,0.007819663,0.009194767,0.008495262,0.009045866,0.005589818,0.00581445,0.005092173,0.004044603
E12000004,East Midlands,,15624,311,41.4,4189622,4221753,4255080,4291476,4329112,4366676,4404774,4441125,4471653,4507071,4537448,4567798,4598548,4637369,4677425,4725390,4771666,4804149,4835928,4865583,0.007669188,0.007894114,0.008553541,0.008769943,0.008677068,0.008724714,0.008252637,0.006873934,0.007920561,0.006739854,0.006688782,0.006731909,0.008442013,0.008637656,0.010254574,0.009793054,0.006807476,0.006614907,0.006132225
E12000003,Yorkshire and The Humber,,15404,359,40.2,4976643,5000111,5026314,5063199,5108408,5134016,5164138,5198675,5223344,5254788,5288212,5316897,5337940,5360117,5390211,5425370,5450130,5479615,5502967,5526350,0.004715629,0.005240484,0.00733838,0.00892894,0.005012912,0.005867142,0.006687854,0.004745248,0.006019898,0.006360675,0.005424329,0.00395776,0.004154599,0.00561443,0.00652275,0.004563744,0.005409963,0.004261613,0.004249162
E12000002,North West,,14108,522,40.3,6772985,6784880,6814660,6840369,6870021,6901585,6929277,6958547,6986156,7019921,7055961,7084470,7103488,7133026,7175178,7223961,7258627,7292093,7341196,7367456,0.001756242,0.004389171,0.003772602,0.004334854,0.004594455,0.004012412,0.004224106,0.003967639,0.00483313,0.005133961,0.004040413,0.002684463,0.004158239,0.005909413,0.006798856,0.004798752,0.004610514,0.006733732,0.003577074
N92000002,Northern Ireland,,13793,137,39.2,1688838,1697534,1704924,1714042,1727733,1743113,1761683,1779152,1793333,1804833,1814318,1823634,1829725,1840498,1851621,1862137,1870834,1881641,1893667,1895510,0.005149103,0.004353374,0.005348039,0.007987552,0.008901838,0.010653354,0.009916086,0.007970651,0.006412641,0.005255334,0.005134712,0.003340034,0.00588777,0.006043473,0.005679348,0.00467044,0.005776568,0.00639123,0.000973244
E12000005,West Midlands,,12998,459,39.6,5280727,5301243,5325475,5346376,5380687,5415521,5451924,5496240,5528007,5565866,5608667,5642763,5675030,5713439,5755032,5810773,5860706,5900757,5934037,5961929,0.003885071,0.004571003,0.00392472,0.006417618,0.006473895,0.006721976,0.008128507,0.005779769,0.00684858,0.007689908,0.006079163,0.005718298,0.00676807,0.007279854,0.009685611,0.008593177,0.006833818,0.005639954,0.004700341
E12000001,North East,,8581,312,41.7,2540090,2540600,2540461,2540502,2547127,2552568,2562045,2569312,2575441,2586868,2596441,2602387,2610563,2618736,2624579,2636589,2644727,2657909,2669941,2680763,0.00020078,-5.47115E-05,1.61388E-05,0.002607752,0.002136132,0.003712732,0.002836406,0.002385464,0.00443691,0.003700614,0.002290058,0.003141731,0.003130742,0.002231229,0.004575972,0.003086564,0.004984257,0.004526867,0.004053273
S12000035,Argyll and Bute,S92000003,6907,12,50,91300,91020,90930,90580,90350,90870,90790,89910,89450,88620,88930,86910,88050,87650,86890,87130,86810,86260,85870,85430,-0.003066813,-0.000988794,-0.003849115,-0.002539192,0.005755396,-0.000880379,-0.009692697,-0.005116227,-0.009278927,0.003498082,-0.022714495,0.013117018,-0.004542873,-0.00867085,0.002762113,-0.003672673,-0.006335676,-0.004521215,-0.005124025
S12000006,Dumfries and Galloway,S92000003,6426,23,50,147780,147670,147860,148690,149620,149780,150370,151010,151160,151100,151410,150840,150280,149960,149670,149520,149200,148790,148860,148290,-0.00074435,0.001286653,0.005613418,0.006254624,0.001069376,0.003939111,0.004256168,0.000993312,-0.00039693,0.002051621,-0.003764613,-0.003712543,-0.002129359,-0.001933849,-0.001002205,-0.002140182,-0.002747989,0.000470462,-0.003829101
S12000034,Aberdeenshire,S92000003,6313,41,44.4,226940,228830,231250,234690,237570,241180,244390,246840,249020,251430,253650,255560,257770,260530,261960,262190,261800,261470,261210,260780,0.008328192,0.010575536,0.014875676,0.012271507,0.015195521,0.013309561,0.01002496,0.008831632,0.009677938,0.008829495,0.007530061,0.008647676,0.01070722,0.005488811,0.000877997,-0.001487471,-0.001260504,-0.000994378,-0.001646185
S12000048,Perth and Kinross,S92000003,5286,29,47.3,134950,135130,135960,136900,138060,139390,141140,143130,144370,145600,146850,147740,147770,148930,149930,150680,151100,151290,151950,151910,0.001333827,0.006142233,0.006913798,0.008473338,0.009633493,0.012554703,0.014099476,0.008663453,0.008519776,0.008585165,0.006060606,0.000203059,0.007850037,0.006714564,0.005002334,0.002787364,0.001257445,0.004362483,-0.000263244
W06000023,Powys,W92000004,5181,26,50.6,126398,127145,128295,129568,130210,131037,131982,132865,133090,132878,133071,133015,132786,132777,132730,132337,132515,132447,132435,133030,0.005909904,0.009044791,0.009922444,0.004954927,0.006351279,0.007211704,0.006690306,0.001693448,-0.001592907,0.00145246,-0.000420828,-0.00172161,-6.77782E-05,-0.000353977,-0.002960898,0.001345051,-0.000513149,-9.06023E-05,0.00449277
E06000057,Northumberland,E12000001,5020,65,48.8,307363,308499,309448,310140,310752,311375,312960,314057,314489,315463,316278,316489,316389,316832,316453,317444,319030,320274,322434,323820,0.003695956,0.003076185,0.00223624,0.001973302,0.002004814,0.005090325,0.00350524,0.001375546,0.003097088,0.002583504,0.000667135,-0.000315967,0.001400175,-0.001196218,0.003131587,0.004996157,0.00389932,0.006744225,0.004298554
S12000026,Scottish Borders,S92000003,4732,24,49.4,106950,107530,108400,109460,110250,110860,112200,113360,113590,113690,113880,113720,113880,114040,114030,114530,115020,115270,115510,115240,0.005423095,0.008090765,0.009778598,0.007217248,0.00553288,0.012087317,0.010338681,0.002028934,0.000880359,0.001671211,-0.001404988,0.001406964,0.001404988,-8.76885E-05,0.004384811,0.004278355,0.002173535,0.002082068,-0.00233746
E06000052,Cornwall,E12000009,3545,162,47.9,499937,504644,508579,511810,515098,517984,521957,524973,526365,529794,533760,538249,541734,545961,550283,555057,561349,565968,569578,573299,0.009415186,0.007797576,0.006352995,0.006424259,0.005602817,0.007670121,0.005778254,0.002651565,0.006514491,0.007485928,0.008410147,0.006474699,0.007802722,0.007916316,0.008675536,0.011335773,0.008228393,0.006378452,0.006532907
E06000054,Wiltshire,E12000009,3255,155,45.1,433508,438386,442633,445632,448670,453041,458840,464007,466711,470199,474319,476914,479911,484560,488487,492240,496043,498064,500024,504070,0.011252387,0.009687809,0.006775365,0.006817284,0.009742127,0.012800166,0.011261006,0.005827498,0.007473576,0.008762247,0.005471002,0.006284152,0.009687213,0.00810426,0.007682907,0.007725906,0.004074244,0.003935237,0.008091612
E06000051,Shropshire,E12000005,3197,102,48.2,283254,284901,286913,288810,291523,294531,297633,300473,302069,304523,307108,308416,309085,310774,312227,314392,317459,320274,323136,325415,0.005814569,0.007062102,0.00661176,0.009393719,0.010318225,0.010531998,0.009541953,0.005311625,0.008123972,0.008488686,0.004259088,0.002169148,0.005464516,0.004675423,0.006934058,0.009755337,0.008867287,0.008936098,0.007052758
